arm_wheel_angle:	19.167
arm_wheel_length:	24.500

steering_angle	valid_steering_angle	achermann_left_wheel	achermann_right_wheel	left_wheel_angle	right_wheel_angle	left_wheel_error	right_wheel_error	servo_angle	servo_raw_angle
6.500	6.500	6.799	6.226	8.220	8.900	-1.421	-2.674	9.249	75.000	
6.600	6.600	6.908	6.318	8.381	9.021	-1.473	-2.703	9.378	75.000	
6.700	6.700	7.018	6.410	8.542	9.142	-1.524	-2.732	9.508	75.000	
6.800	6.800	7.128	6.501	8.702	9.262	-1.574	-2.761	9.638	75.000	
6.900	6.900	7.238	6.592	8.862	9.383	-1.624	-2.790	9.768	75.000	
7.000	7.000	7.348	6.684	9.022	9.503	-1.674	-2.819	9.898	75.000	
7.100	7.100	7.458	6.775	9.181	9.624	-1.723	-2.849	10.027	74.000	
7.200	7.200	7.568	6.866	9.340	9.744	-1.772	-2.878	10.157	74.000	
7.300	7.300	7.679	6.957	9.499	9.864	-1.821	-2.907	10.287	74.000	
7.400	7.400	7.789	7.048	9.658	9.984	-1.868	-2.937	10.418	74.000	
7.500	7.500	7.900	7.138	9.816	10.104	-1.916	-2.966	10.548	74.000	
7.600	7.600	8.011	7.229	9.974	10.224	-1.963	-2.995	10.678	74.000	
7.700	7.700	8.122	7.319	10.131	10.344	-2.009	-3.025	10.808	74.000	
7.800	7.800	8.233	7.410	10.289	10.464	-2.055	-3.054	10.938	74.000	
7.900	7.900	8.345	7.500	10.446	10.584	-2.101	-3.084	11.068	73.000	
8.000	8.000	8.456	7.590	10.603	10.703	-2.146	-3.113	11.199	73.000	
8.100	8.100	8.568	7.680	10.759	10.823	-2.191	-3.143	11.329	73.000	
8.200	8.200	8.680	7.770	10.915	10.943	-2.235	-3.173	11.459	73.000	
8.300	8.300	8.792	7.860	11.071	11.062	-2.279	-3.202	11.590	73.000	
8.400	8.400	8.904	7.949	11.227	11.181	-2.322	-3.232	11.720	73.000	
8.500	8.500	9.017	8.039	11.382	11.301	-2.365	-3.262	11.851	73.000	
8.600	8.600	9.129	8.129	11.537	11.420	-2.408	-3.291	11.981	73.000	
8.700	8.700	9.242	8.218	11.692	11.539	-2.450	-3.321	12.112	72.000	
8.800	8.800	9.355	8.307	11.846	11.658	-2.492	-3.351	12.242	72.000	
